	Reserv	Pizza
	10       32
	 2       30
	49       66
	 5       32
	97       98
	90       90    
    100       88
	14       45
	36       48
	13       26
	50       69
	88       73
	39       48
	 4       35
	16       35
	52       62
	61       69
	62       67
	23       52
	56       56
	 3       34
	37       60
	96       88
	83       78
	70       76
	95       85
	40       60
	98       91
	19       44
	68       77
	17       46
	25       56
	91       81
	20       52
	29       40
	75       76
	33       46
	84       92
	78       76
	74       66
	86       78
	11       43
	44       63
	28       38
	76       69
	24       53
	41       61
	77       76
	89       91
	64       61
