Rank 	Institution 	Undergraduates 	Postgraduates 	Total students
1 	Open University in England 	112,535 	10,955 	123,490
2 	University of Manchester 	26,485 	11,440 	37,925
3 	University of Nottingham 	24,885 	8,385 	33,270
4 	Sheffield Hallam University 	25,985 	7,115 	33,100
5 	University of Birmingham 	19,185 	13,150 	32,335
6 	Manchester Metropolitan University 	26,635 	5,525 	32,160
7 	University of Leeds 	23,265 	7,710 	30,975
8 	Cardiff University 	21,495 	8,685 	30,180
9 	University of South Wales 	23,890 	5,310 	29,195
10 	University College London 	15,415 	13,015 	28,430
11 	King's College London 	16,410 	11,235 	27,645
12 	University of Edinburgh 	19,015 	8,605 	27,625
13 	Northumbria University 	23,065 	4,500 	27,565
14 	University of Glasgow 	19,850 	7,540 	27,390
15 	University of the West of England 	21,500 	5,545 	27,050
16 	University of Plymouth 	23,585 	3,345 	26,930
17 	Nottingham Trent University 	21,670 	5,175 	26,845
18 	University of Sheffield 	18,590 	8,010 	26,600
19 	University of Central Lancashire 	21,995 	4,590 	26,585
20 	Ulster University 	20,335 	5,865 	26,200
21 	University of Oxford 	16,655 	9,250 	25,905
22 	Coventry University 	20,310 	5,325 	25,635
23 	University of Hertfordshire 	19,760 	5,535 	25,295
24 	University of Warwick 	14,725 	10,520 	25,245
25 	Leeds Beckett University 	20,935 	3,970 	24,905
26 	University of Southampton 	16,195 	7,840 	24,040
27 	Queen's University Belfast 	18,370 	4,950 	23,320
28 	Kingston University 	17,790 	5,270 	23,055
29 	Birmingham City University 	18,770 	3,770 	22,540
30 	University of Newcastle 	16,290 	6,120 	22,410
31 	University of Greenwich 	17,020 	4,930 	21,950
32 	University of Portsmouth 	18,380 	3,520 	21,900
33 	University of Liverpool 	16,860 	4,490 	21,345
34 	Liverpool John Moores University 	18,450 	2,865 	21,315
35 	Anglia Ruskin University 	17,290 	3,410 	20,700
36 	University of Brighton 	16,655 	4,045 	20,700
37 	University of Westminster 	15,735 	4,460 	20,200
38 	University of Bristol 	14,980 	5,190 	20,170
39 	Staffordshire University 	16,490 	3,655 	20,145
40 	University of Strathclyde 	14,040 	5,920 	19,960
41 	Middlesex University 	15,645 	4,235 	19,880
42 	De Montfort University 	16,410 	3,235 	19,645
43 	University of Cambridge 	12,155 	7,425 	19,580
44 	University of Exeter 	15,050 	4,470 	19,520
45 	University of Huddersfield 	14,965 	4,210 	19,175
46 	University of Wolverhampton 	16,160 	2,940 	19,100
47 	University of Kent 	15,200 	3,805 	19,010
48 	University of Salford 	14,910 	3,575 	18,485
49 	London South Bank University 	14,005 	4,220 	18,220
50 	City University 	9,645 	8,500 	18,145
51 	Teesside University 	16,070 	1,995 	18,065
52 	University of Hull 	14,285 	3,730 	18,020
53 	Oxford Brookes University 	13,715 	4,185 	17,895
54 	University of Bedfordshire 	12,900 	4,940 	17,835
55 	Bournemouth University 	14,910 	2,825 	17,735
56 	Canterbury Christ Church University 	13,945 	3,480 	17,425
57 	University of Durham 	12,540 	4,655 	17,190
58 	University of East London 	12,900 	4,275 	17,175
59 	University of East Anglia 	12,090 	5,055 	17,140
60 	University of the Arts London 	14,035 	3,105 	17,135
61 	Glasgow Caledonian University 	13,825 	2,925 	16,755
62 	Edge Hill University 	12,640 	4,110 	16,750
63 	University of Leicester 	10,905 	5,845 	16,750
64 	University of York 	12,695 	3,985 	16,680
65 	London Metropolitan University 	13,100 	3,155 	16,255
66 	Imperial College London 	8,885 	7,340 	16,225
67 	University of Derby 	13,365 	2,820 	16,185
68 	University of Sunderland 	12,255 	3,765 	16,020
69 	Loughborough University 	12,005 	3,955 	15,965
70 	Birkbeck College	10,805 	4,740 	15,545
71 	Queen Mary, University of London	11,200 	4,220 	15,420
72 	University of the West of Scotland 	13,630 	1,650 	15,280
73 	Open University in Scotland 	14,535 	665 	15,205
74 	University of Dundee 	10,310 	4,885 	15,195
75 	University of Bath 	10,810 	4,345 	15,155
76 	Swansea University 	12,405 	2,415 	14,820
77 	University of Chester 	10,725 	4,015 	14,740
78 	Brunel University 	10,075 	4,255 	14,330
79 	University of Surrey 	10,035 	4,030 	14,065
80 	University of Essex 	10,840 	3,140 	13,980
81 	University of Aberdeen 	10,375 	3,450 	13,825
82 	University of Sussex 	10,145 	3,490 	13,635
83 	University of Reading 	9,320 	4,275 	13,595
84 	Robert Gordon University 	9,360 	4,050 	13,410
85 	University of Lincoln 	11,210 	2,190 	13,400
86 	Cardiff Metropolitan University 	8,730 	4,665 	13,395
87 	University of Northampton 	10,975 	2,315 	13,285
88 	University of Lancaster 	9,410 	3,670 	13,080
89 	Edinburgh Napier University 	10,605 	2,085 	12,690
90 	University of Bradford 	9,775 	2,730 	12,505
91 	Southampton Solent University 	11,285 	440 	11,725
92 	University of Wales, Trinity Saint David 	9,280 	2,040 	11,320
93 	University of West London 	9,785 	1,520 	11,305
94 	Aberystwyth University 	9,560 	1,610 	11,170
95 	University of Stirling 	7,675 	3,415 	11,090
96 	Aston University 	8,130 	2,855 	10,985
97 	Heriot-Watt University 	7,315 	3,575 	10,895
98 	Bangor University 	8,030 	2,615 	10,645
99 	University of Worcester 	8,885 	1,410 	10,295
100 	London School of Economics	4,035 	6,115 	10,145
101 	University of Keele 	7,555 	2,425 	9,980
102 	The University of St Andrews 	7,610 	2,125 	9,735
103 	Royal Holloway, University of London 	7,160 	2,515 	9,670
104 	University of Cumbria 	7,695 	1,930 	9,625
105 	Buckinghamshire New University 	7,990 	1,095 	9,080
