PLZ,quantity,name,color,price,total
40883,2,Fuga,pink,62.21,124.42
40883,2,Fuga,pink,62.21,124.42
40883,3,Fuga,green,38.02,114.05
40883,2,Fuga,pink,62.21,124.42
40883,3,Fuga,green,38.02,114.05
40883,3,Deleniti,green,98.27,294.82
40883,2,Fuga,pink,62.21,124.42
40883,3,Fuga,green,38.02,114.05
40883,3,Deleniti,green,98.27,294.82
40883,1,Expedita,black,512.3,512.3
40883,2,Fuga,pink,62.21,124.42
40883,3,Fuga,green,38.02,114.05
40883,3,Deleniti,green,98.27,294.82
40883,1,Expedita,black,512.3,512.3
40883,3,Expedita,red,614.76,1844.28
17094,2,Fuga,red,41.47,82.94
17094,2,Fuga,red,41.47,82.94
17094,2,Expedita,pink,922.14,1844.28
17094,2,Fuga,red,41.47,82.94
17094,2,Expedita,pink,922.14,1844.28
17094,3,Explicabo,blue,524.19,1572.58
17094,2,Fuga,red,41.47,82.94
17094,2,Expedita,pink,922.14,1844.28
17094,3,Explicabo,blue,524.19,1572.58
17094,2,Fuga,pink,62.21,124.42
35614,4,Deleniti,pink,160.81,643.25
35614,4,Deleniti,pink,160.81,643.25
35614,2,Expedita,blue,594.27,1188.54
35614,4,Deleniti,pink,160.81,643.25
35614,2,Expedita,blue,594.27,1188.54
35614,3,Fuga,pink,62.21,186.62
35614,4,Deleniti,pink,160.81,643.25
35614,2,Expedita,blue,594.27,1188.54
35614,3,Fuga,pink,62.21,186.62
35614,4,Fuga,pink,62.21,248.83
35614,4,Deleniti,pink,160.81,643.25
35614,2,Expedita,blue,594.27,1188.54
35614,3,Fuga,pink,62.21,186.62
35614,4,Fuga,pink,62.21,248.83
35614,4,Expedita,red,614.76,2459.04
24966,4,Fuga,pink,62.21,248.83
24966,4,Fuga,pink,62.21,248.83
24966,3,Fuga,red,41.47,124.42
24966,4,Fuga,pink,62.21,248.83
24966,3,Fuga,red,41.47,124.42
24966,2,Explicabo,green,497.08,994.16
24966,4,Fuga,pink,62.21,248.83
24966,3,Fuga,red,41.47,124.42
24966,2,Explicabo,green,497.08,994.16
24966,2,Explicabo,black,451.89,903.78
24966,4,Fuga,pink,62.21,248.83
24966,3,Fuga,red,41.47,124.42
24966,2,Explicabo,green,497.08,994.16
24966,2,Explicabo,black,451.89,903.78
24966,3,Deleniti,green,98.27,294.82
12589,3,Fuga,green,38.02,114.05
12589,3,Fuga,green,38.02,114.05
12589,3,Explicabo,green,497.08,1491.24
12589,3,Fuga,green,38.02,114.05
12589,3,Explicabo,green,497.08,1491.24
12589,2,Explicabo,black,451.89,903.78
12589,3,Fuga,green,38.02,114.05
12589,3,Explicabo,green,497.08,1491.24
12589,2,Explicabo,black,451.89,903.78
12589,2,Expedita,green,563.53,1127.06
82347,2,Deleniti,red,107.21,214.42
82347,2,Deleniti,red,107.21,214.42
82347,1,Deleniti,blue,103.63,103.63
82347,2,Deleniti,red,107.21,214.42
82347,1,Deleniti,blue,103.63,103.63
82347,4,Deleniti,red,107.21,428.83
82347,2,Deleniti,red,107.21,214.42
82347,1,Deleniti,blue,103.63,103.63
82347,4,Deleniti,red,107.21,428.83
82347,4,Expedita,pink,922.14,3688.56
82347,2,Deleniti,red,107.21,214.42
82347,1,Deleniti,blue,103.63,103.63
82347,4,Deleniti,red,107.21,428.83
82347,4,Expedita,pink,922.14,3688.56
82347,3,Explicabo,black,451.89,1355.67
03103,2,Explicabo,black,451.89,903.78
22393,3,Expedita,green,563.53,1690.59
12169,4,Expedita,red,614.76,2459.04
12169,4,Expedita,red,614.76,2459.04
12169,4,Deleniti,red,107.21,428.83
12169,4,Expedita,red,614.76,2459.04
12169,4,Deleniti,red,107.21,428.83
12169,4,Fuga,black,34.56,138.24
12169,4,Expedita,red,614.76,2459.04
12169,4,Deleniti,red,107.21,428.83
12169,4,Fuga,black,34.56,138.24
12169,3,Deleniti,pink,160.81,482.44
66482,1,Fuga,red,41.47,41.47
66482,1,Fuga,red,41.47,41.47
66482,2,Fuga,black,34.56,69.12
66482,1,Fuga,red,41.47,41.47
66482,2,Fuga,black,34.56,69.12
66482,1,Deleniti,green,98.27,98.27
34125,1,Fuga,blue,40.09,40.09
34125,1,Fuga,blue,40.09,40.09
34125,3,Expedita,red,614.76,1844.28
34125,1,Fuga,blue,40.09,40.09
34125,3,Expedita,red,614.76,1844.28
34125,4,Fuga,pink,62.21,248.83
34125,1,Fuga,blue,40.09,40.09
34125,3,Expedita,red,614.76,1844.28
34125,4,Fuga,pink,62.21,248.83
34125,1,Deleniti,blue,103.63,103.63
34125,1,Fuga,blue,40.09,40.09
34125,3,Expedita,red,614.76,1844.28
34125,4,Fuga,pink,62.21,248.83
34125,1,Deleniti,blue,103.63,103.63
34125,2,Deleniti,red,107.21,214.42
14621,4,Expedita,blue,594.27,2377.07
14621,4,Expedita,blue,594.27,2377.07
14621,3,Expedita,green,563.53,1690.59
14621,4,Expedita,blue,594.27,2377.07
14621,3,Expedita,green,563.53,1690.59
14621,4,Expedita,blue,594.27,2377.07
14621,4,Expedita,blue,594.27,2377.07
14621,3,Expedita,green,563.53,1690.59
14621,4,Expedita,blue,594.27,2377.07
14621,1,Fuga,green,38.02,38.02
15746,1,Explicabo,blue,524.19,524.19
56235,1,Explicabo,red,542.27,542.27
56235,1,Explicabo,red,542.27,542.27
56235,4,Fuga,green,38.02,152.06
56235,1,Explicabo,red,542.27,542.27
56235,4,Fuga,green,38.02,152.06
56235,2,Explicabo,green,497.08,994.16
59929,4,Deleniti,blue,103.63,414.54
59929,4,Deleniti,blue,103.63,414.54
59929,2,Expedita,green,563.53,1127.06
59929,4,Deleniti,blue,103.63,414.54
59929,2,Expedita,green,563.53,1127.06
59929,1,Fuga,red,41.47,41.47
59929,4,Deleniti,blue,103.63,414.54
59929,2,Expedita,green,563.53,1127.06
59929,1,Fuga,red,41.47,41.47
59929,1,Deleniti,red,107.21,107.21
59929,4,Deleniti,blue,103.63,414.54
59929,2,Expedita,green,563.53,1127.06
59929,1,Fuga,red,41.47,41.47
59929,1,Deleniti,red,107.21,107.21
59929,4,Deleniti,blue,103.63,414.54
16833,3,Fuga,red,41.47,124.42
16833,3,Fuga,red,41.47,124.42
16833,4,Expedita,red,614.76,2459.04
16833,3,Fuga,red,41.47,124.42
16833,4,Expedita,red,614.76,2459.04
16833,2,Fuga,black,34.56,69.12
16833,3,Fuga,red,41.47,124.42
16833,4,Expedita,red,614.76,2459.04
16833,2,Fuga,black,34.56,69.12
16833,4,Expedita,blue,594.27,2377.07
40627,3,Fuga,black,34.56,103.68
40627,3,Fuga,black,34.56,103.68
40627,4,Fuga,green,38.02,152.06
40627,3,Fuga,black,34.56,103.68
40627,4,Fuga,green,38.02,152.06
40627,3,Fuga,pink,62.21,186.62
40627,3,Fuga,black,34.56,103.68
40627,4,Fuga,green,38.02,152.06
40627,3,Fuga,pink,62.21,186.62
40627,3,Fuga,red,41.47,124.42
15748,4,Expedita,black,512.3,2049.2
15748,4,Expedita,black,512.3,2049.2
15748,2,Fuga,black,34.56,69.12
13585,4,Fuga,pink,62.21,248.83
13585,4,Fuga,pink,62.21,248.83
13585,2,Deleniti,blue,103.63,207.27
13585,4,Fuga,pink,62.21,248.83
13585,2,Deleniti,blue,103.63,207.27
13585,2,Fuga,red,41.47,82.94
28239,3,Explicabo,green,497.08,1491.24
28239,3,Explicabo,green,497.08,1491.24
28239,4,Expedita,blue,594.27,2377.07
28239,3,Explicabo,green,497.08,1491.24
28239,4,Expedita,blue,594.27,2377.07
28239,3,Deleniti,green,98.27,294.82
28239,3,Explicabo,green,497.08,1491.24
28239,4,Expedita,blue,594.27,2377.07
28239,3,Deleniti,green,98.27,294.82
28239,1,Deleniti,green,98.27,98.27
28239,3,Explicabo,green,497.08,1491.24
28239,4,Expedita,blue,594.27,2377.07
28239,3,Deleniti,green,98.27,294.82
28239,1,Deleniti,green,98.27,98.27
28239,2,Deleniti,black,89.34,178.68
16949,3,Deleniti,blue,103.63,310.9
16949,3,Deleniti,blue,103.63,310.9
16949,1,Fuga,green,38.02,38.02
33100,4,Expedita,black,512.3,2049.2
33100,4,Expedita,black,512.3,2049.2
33100,3,Fuga,pink,62.21,186.62
33100,4,Expedita,black,512.3,2049.2
33100,3,Fuga,pink,62.21,186.62
33100,3,Expedita,black,512.3,1536.9
33100,4,Expedita,black,512.3,2049.2
33100,3,Fuga,pink,62.21,186.62
33100,3,Expedita,black,512.3,1536.9
33100,2,Deleniti,red,107.21,214.42
13593,2,Deleniti,red,107.21,214.42
13593,2,Deleniti,red,107.21,214.42
13593,2,Fuga,green,38.02,76.03
13593,2,Deleniti,red,107.21,214.42
13593,2,Fuga,green,38.02,76.03
13593,4,Fuga,black,34.56,138.24
13593,2,Deleniti,red,107.21,214.42
13593,2,Fuga,green,38.02,76.03
13593,4,Fuga,black,34.56,138.24
13593,3,Deleniti,blue,103.63,310.9
10629,4,Explicabo,green,497.08,1988.32
10629,4,Explicabo,green,497.08,1988.32
10629,3,Fuga,pink,62.21,186.62
10629,4,Explicabo,green,497.08,1988.32
