Country,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Australia,female,9999199,10100991,10218321,10348070,10570420,10770864,10986535,11218144,11359807,11402769
Australia,male,9873447,9990513,10121438,10257418,10444622,10660917,10888385,11124254,11260747,11280804
Australia,total,19872646,20091504,20339759,20605488,21015042,21431781,21874920,22342398,22620554,22683573
Austria,female,4158169,4190297,4220228,4246571,4261752,4277716,4287213,4296197,4308915,4324983
Austria,male,3909120,3949825,3986296,4019354,4037171,4054214,4068047,4079093,4095337,4118035
Austria,total,8067289,8140122,8206524,8265925,8298923,8331930,8355260,8375290,8404252,8443018
Belgium,female,5288959,5309245,5334527,5367561,5403126,5442557,5484429,5527684,4996609,5622157
Belgium,male,5066885,5087176,5111325,5143821,5181408,5224309,5268651,5312221,5370234,5413801
Belgium,total,10355844,10396421,10445852,10511382,10584534,10666866,10753080,10839905,10366843,11035958
Canada,female,15829173,15834015,16146667,16303914,16478759,16601231,16802833,16807738,17101813,17379104
Canada,male,15532438,15538572,15842787,15995582,16170723,16326141,16524504,16526676,16826122,17113541
Canada,total,31361611,31372587,31989454,32299496,32649482,32927372,33327337,33334414,33927935,34492645
Czech Republic,female,5236563,5236715,5239664,5248431,5261005,5298196,5331165,5349616,5363971,5347235
Czech Republic,male,4966706,4974740,4980913,5002648,5026184,5082934,5136377,5157197,5168799,5158210
Czech Republic,total,10203269,10211455,10220577,10251079,10287189,10381130,10467542,10506813,10532770,10505445
Denmark,female,2721084,2727505,2734113,2741613,2750422,2763125,2779431,2791452,2804046,2813740
Denmark,male,2662423,2670135,2677292,2685846,2696662,2712666,2732020,2743286,2756582,2766776
Denmark,total,5383507,5397640,5411405,5427459,5447084,5475791,5511451,5534738,5560628,5580516
Finland,female,2661379,2666839,2674534,2683230,2693213,2703697,2714661,2726360,2736860,2748733
Finland,male,2544916,2552893,2562077,2572350,2583742,2596787,2611653,2625067,2638416,2652534
Finland,total,5206295,5219732,5236611,5255580,5276955,5300484,5326314,5351427,5375276,5401267
France,female,30655533,30789154,32147490,32390087,32587979,32770860,33208315,33384930,33598633,33723892
France,male,28974588,29111526,30371081,30608686,30804161,30982280,31158647,31331380,31531113,31670391
France,total,59630121,59900680,62518571,62998773,63392140,63753140,64366962,64716310,65129746,65394283
Germany,female,42191801,42175657,42147222,42098034,42013740,41943545,41818073,41698651,41639177,41637080
Germany,male,40344879,40356014,40353627,40339961,40301166,40274292,40184283,40103606,40112425,40206663
Germany,total,82536680,82531671,82500849,82437995,82314906,82217837,82002356,81802257,81751602,81843743
