Year Frankfurt Manager Munich Zurich
2000 1245.89 Steve 2220.00 1936.25
2001 1289.99 Steve 2405.14 2064.32
2002 1379.04 Steve 1984.90 1879.30
2003 1450.89 Steve 2178.34 2027.51
2004 1680.98 Frank 2163.86 2147.96
2005 1860.33 Frank 2079.97 2201.28
2006 2103.54 Frank 2310.92 2466.17
2007 2354.54 Frank 2360.46 2634.07
2008 2648.10 Frank 2433.92 2839.12
2009 2971.56 Bill 2566.19 3093.72
2010 3338.08 Bill 2661.59 3351.77
2011 3747.93 Bill 2774.12 3643.60
2012 4209.09 Bill 2901.24 3972.25
2013 4726.47 Bill 3026.45 4331.24
2014 5307.72 Bill 3162.80 4732.13
