"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","71.1",""
"Males","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","77.5",""
"Females","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","64.8",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","71.1",""
"Males","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","77.5",""
"Females","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","64.8",""
"Total","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","72.4",""
"Males","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","78.7",""
"Females","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","66.2",""
"Total","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","71.4",""
"Males","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","77.9",""
"Females","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","65.0",""
"Total","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","71.4",""
"Males","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","77.9",""
"Females","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","65.0",""
"Total","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","71.4",""
"Males","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","78.0",""
"Females","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","65.0",""
"Total","Belgium","From 15 to 64 years","Percentage of total population","2011","Active population","66.7",""
"Males","Belgium","From 15 to 64 years","Percentage of total population","2011","Active population","72.3",""
"Females","Belgium","From 15 to 64 years","Percentage of total population","2011","Active population","61.1",""
"Total","Bulgaria","From 15 to 64 years","Percentage of total population","2011","Active population","65.9","b"
"Males","Bulgaria","From 15 to 64 years","Percentage of total population","2011","Active population","69.9","b"
"Females","Bulgaria","From 15 to 64 years","Percentage of total population","2011","Active population","61.9","b"
"Total","Czech Republic","From 15 to 64 years","Percentage of total population","2011","Active population","70.5","b"
"Males","Czech Republic","From 15 to 64 years","Percentage of total population","2011","Active population","78.7","b"
"Females","Czech Republic","From 15 to 64 years","Percentage of total population","2011","Active population","62.2","b"
"Total","Denmark","From 15 to 64 years","Percentage of total population","2011","Active population","79.3",""
"Males","Denmark","From 15 to 64 years","Percentage of total population","2011","Active population","82.3",""
"Females","Denmark","From 15 to 64 years","Percentage of total population","2011","Active population","76.1",""
"Total","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2011","Active population","77.3","b"
"Males","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2011","Active population","82.7","b"
"Females","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2011","Active population","71.9","b"
"Total","Estonia","From 15 to 64 years","Percentage of total population","2011","Active population","74.7",""
"Males","Estonia","From 15 to 64 years","Percentage of total population","2011","Active population","78.2",""
"Females","Estonia","From 15 to 64 years","Percentage of total population","2011","Active population","71.5",""
"Total","Ireland","From 15 to 64 years","Percentage of total population","2011","Active population","69.2",""
"Males","Ireland","From 15 to 64 years","Percentage of total population","2011","Active population","76.6",""
"Females","Ireland","From 15 to 64 years","Percentage of total population","2011","Active population","61.9",""
"Total","Greece","From 15 to 64 years","Percentage of total population","2011","Active population","67.3",""
"Males","Greece","From 15 to 64 years","Percentage of total population","2011","Active population","77.2",""
"Females","Greece","From 15 to 64 years","Percentage of total population","2011","Active population","57.5",""
"Total","Spain","From 15 to 64 years","Percentage of total population","2011","Active population","73.9",""
"Males","Spain","From 15 to 64 years","Percentage of total population","2011","Active population","80.4",""
"Females","Spain","From 15 to 64 years","Percentage of total population","2011","Active population","67.3",""
"Total","France","From 15 to 64 years","Percentage of total population","2011","Active population",":",""
"Males","France","From 15 to 64 years","Percentage of total population","2011","Active population",":",""
"Females","France","From 15 to 64 years","Percentage of total population","2011","Active population",":",""
"Total","France (metropolitan)","From 15 to 64 years","Percentage of total population","2011","Active population","70.1",""
"Males","France (metropolitan)","From 15 to 64 years","Percentage of total population","2011","Active population","74.6",""
"Females","France (metropolitan)","From 15 to 64 years","Percentage of total population","2011","Active population","65.7",""
"Total","Croatia","From 15 to 64 years","Percentage of total population","2011","Active population","64.1",""
"Males","Croatia","From 15 to 64 years","Percentage of total population","2011","Active population","70.7",""
"Females","Croatia","From 15 to 64 years","Percentage of total population","2011","Active population","57.6",""
"Total","Italy","From 15 to 64 years","Percentage of total population","2011","Active population","62.1",""
"Males","Italy","From 15 to 64 years","Percentage of total population","2011","Active population","72.8",""
"Females","Italy","From 15 to 64 years","Percentage of total population","2011","Active population","51.4",""
"Total","Cyprus","From 15 to 64 years","Percentage of total population","2011","Active population","73.5",""
"Males","Cyprus","From 15 to 64 years","Percentage of total population","2011","Active population","80.4",""
"Females","Cyprus","From 15 to 64 years","Percentage of total population","2011","Active population","67.4",""
"Total","Latvia","From 15 to 64 years","Percentage of total population","2011","Active population","72.8",""
"Males","Latvia","From 15 to 64 years","Percentage of total population","2011","Active population","75.8",""
"Females","Latvia","From 15 to 64 years","Percentage of total population","2011","Active population","70.1",""
"Total","Lithuania","From 15 to 64 years","Percentage of total population","2011","Active population","71.4",""
"Males","Lithuania","From 15 to 64 years","Percentage of total population","2011","Active population","73.5",""
"Females","Lithuania","From 15 to 64 years","Percentage of total population","2011","Active population","69.4",""
"Total","Luxembourg","From 15 to 64 years","Percentage of total population","2011","Active population","67.9",""
"Males","Luxembourg","From 15 to 64 years","Percentage of total population","2011","Active population","75.0",""
"Females","Luxembourg","From 15 to 64 years","Percentage of total population","2011","Active population","60.7",""
"Total","Hungary","From 15 to 64 years","Percentage of total population","2011","Active population","62.4",""
"Males","Hungary","From 15 to 64 years","Percentage of total population","2011","Active population","68.4",""
"Females","Hungary","From 15 to 64 years","Percentage of total population","2011","Active population","56.6",""
"Total","Malta","From 15 to 64 years","Percentage of total population","2011","Active population","61.8",""
"Males","Malta","From 15 to 64 years","Percentage of total population","2011","Active population","78.6",""
"Females","Malta","From 15 to 64 years","Percentage of total population","2011","Active population","44.7",""
"Total","Netherlands","From 15 to 64 years","Percentage of total population","2011","Active population","78.1","b"
"Males","Netherlands","From 15 to 64 years","Percentage of total population","2011","Active population","83.2","b"
"Females","Netherlands","From 15 to 64 years","Percentage of total population","2011","Active population","72.9","b"
"Total","Austria","From 15 to 64 years","Percentage of total population","2011","Active population","74.6",""
"Males","Austria","From 15 to 64 years","Percentage of total population","2011","Active population","79.9",""
"Females","Austria","From 15 to 64 years","Percentage of total population","2011","Active population","69.3",""
"Total","Poland","From 15 to 64 years","Percentage of total population","2011","Active population","65.7",""
"Males","Poland","From 15 to 64 years","Percentage of total population","2011","Active population","72.6",""
"Females","Poland","From 15 to 64 years","Percentage of total population","2011","Active population","58.9",""
"Total","Portugal","From 15 to 64 years","Percentage of total population","2011","Active population","73.6","b"
"Males","Portugal","From 15 to 64 years","Percentage of total population","2011","Active population","78.0","b"
"Females","Portugal","From 15 to 64 years","Percentage of total population","2011","Active population","69.5","b"
"Total","Romania","From 15 to 64 years","Percentage of total population","2011","Active population","64.1",""
"Males","Romania","From 15 to 64 years","Percentage of total population","2011","Active population","72.1",""
"Females","Romania","From 15 to 64 years","Percentage of total population","2011","Active population","56.1",""
