"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","70.1",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2006","Total employment (resident population concept - LFS)","64.3",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","70.3",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2007","Total employment (resident population concept - LFS)","65.2",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","70.7",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","65.7",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2009","Active population","70.8",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","64.5",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","71.0",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","64.1",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","71.1",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","64.2",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","71.7",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","64.1",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2013","Active population","72.0",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","64.1",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2014","Active population","72.3",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","64.8",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2015","Active population","72.5",""
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","65.6",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","74.8",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2006","Total employment (resident population concept - LFS)","68.9",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","74.9",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2007","Total employment (resident population concept - LFS)","69.8",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","75.3",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.3",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","75.4",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","69.0",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","75.5",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","68.6",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2011","Active population","75.6",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","68.6",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","76.2",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","68.4",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","76.5",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","68.4",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2014","Active population","76.9",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","69.2",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","77.1",""
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","70.1",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","70.2",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2006","Total employment (resident population concept - LFS)","64.4",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","70.4",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2007","Total employment (resident population concept - LFS)","65.3",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","70.7",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","65.8",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2009","Active population","70.9",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","64.5",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","71.0",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","64.2",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2011","Active population","71.1",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","64.2",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","71.7",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","64.2",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2013","Active population","72.0",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","64.2",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2014","Active population","72.4",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","64.9",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2015","Active population","72.6",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","65.7",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","74.8",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2006","Total employment (resident population concept - LFS)","69.0",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","75.0",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2007","Total employment (resident population concept - LFS)","69.9",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","75.3",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.3",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","75.4",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","69.0",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","75.6",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","68.6",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2011","Active population","75.6",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","68.6",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","76.2",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","68.5",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","76.5",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","68.5",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2014","Active population","76.9",""
