"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","74.8",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","82.8",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","66.8",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","74.8",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","82.8",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","66.9",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","75.8",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","83.9",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","67.7",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","74.9",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","83.4",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","66.6",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","74.9",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","83.4",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","66.5",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","74.9",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","83.4",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2006","Active population","66.5",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2006","Active population","72.3",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2006","Active population","79.8",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2006","Active population","64.7",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2006","Active population","71.2",""
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2006","Active population","76.4",""
"Females","Bulgaria","From 20 to 64 years","Percentage of total population","2006","Active population","66.3",""
"Total","Czech Republic","From 20 to 64 years","Percentage of total population","2006","Active population","76.4",""
"Males","Czech Republic","From 20 to 64 years","Percentage of total population","2006","Active population","85.1",""
"Females","Czech Republic","From 20 to 64 years","Percentage of total population","2006","Active population","67.7",""
"Total","Denmark","From 20 to 64 years","Percentage of total population","2006","Active population","82.3",""
"Males","Denmark","From 20 to 64 years","Percentage of total population","2006","Active population","86.3",""
"Females","Denmark","From 20 to 64 years","Percentage of total population","2006","Active population","78.2",""
"Total","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2006","Active population","79.2",""
"Males","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2006","Active population","86.0",""
"Females","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2006","Active population","72.3",""
"Total","Estonia","From 20 to 64 years","Percentage of total population","2006","Active population","80.4",""
"Males","Estonia","From 20 to 64 years","Percentage of total population","2006","Active population","84.5",""
"Females","Estonia","From 20 to 64 years","Percentage of total population","2006","Active population","76.6",""
"Total","Ireland","From 20 to 64 years","Percentage of total population","2006","Active population","76.6",""
"Males","Ireland","From 20 to 64 years","Percentage of total population","2006","Active population","87.1",""
"Females","Ireland","From 20 to 64 years","Percentage of total population","2006","Active population","65.8",""
"Total","Greece","From 20 to 64 years","Percentage of total population","2006","Active population","71.9",""
"Males","Greece","From 20 to 64 years","Percentage of total population","2006","Active population","84.6",""
"Females","Greece","From 20 to 64 years","Percentage of total population","2006","Active population","59.4",""
"Total","Spain","From 20 to 64 years","Percentage of total population","2006","Active population","75.0",""
"Males","Spain","From 20 to 64 years","Percentage of total population","2006","Active population","85.8",""
"Females","Spain","From 20 to 64 years","Percentage of total population","2006","Active population","63.9",""
"Total","France","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Males","France","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Females","France","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Total","France (metropolitan)","From 20 to 64 years","Percentage of total population","2006","Active population","75.4",""
"Males","France (metropolitan)","From 20 to 64 years","Percentage of total population","2006","Active population","81.1",""
"Females","France (metropolitan)","From 20 to 64 years","Percentage of total population","2006","Active population","70.0",""
"Total","Croatia","From 20 to 64 years","Percentage of total population","2006","Active population","68.0","e"
"Males","Croatia","From 20 to 64 years","Percentage of total population","2006","Active population","75.0","e"
"Females","Croatia","From 20 to 64 years","Percentage of total population","2006","Active population","61.3","e"
"Total","Italy","From 20 to 64 years","Percentage of total population","2006","Active population","66.7",""
"Males","Italy","From 20 to 64 years","Percentage of total population","2006","Active population","79.5",""
"Females","Italy","From 20 to 64 years","Percentage of total population","2006","Active population","54.1",""
"Total","Cyprus","From 20 to 64 years","Percentage of total population","2006","Active population","79.4",""
"Males","Cyprus","From 20 to 64 years","Percentage of total population","2006","Active population","89.7",""
"Females","Cyprus","From 20 to 64 years","Percentage of total population","2006","Active population","69.7",""
"Total","Latvia","From 20 to 64 years","Percentage of total population","2006","Active population","78.4",""
"Males","Latvia","From 20 to 64 years","Percentage of total population","2006","Active population","84.2",""
"Females","Latvia","From 20 to 64 years","Percentage of total population","2006","Active population","73.2",""
"Total","Lithuania","From 20 to 64 years","Percentage of total population","2006","Active population","75.6",""
"Males","Lithuania","From 20 to 64 years","Percentage of total population","2006","Active population","79.6",""
"Females","Lithuania","From 20 to 64 years","Percentage of total population","2006","Active population","72.0",""
"Total","Luxembourg","From 20 to 64 years","Percentage of total population","2006","Active population","72.3",""
"Males","Luxembourg","From 20 to 64 years","Percentage of total population","2006","Active population","81.6",""
"Females","Luxembourg","From 20 to 64 years","Percentage of total population","2006","Active population","63.1",""
"Total","Hungary","From 20 to 64 years","Percentage of total population","2006","Active population","67.6",""
"Males","Hungary","From 20 to 64 years","Percentage of total population","2006","Active population","75.3",""
"Females","Hungary","From 20 to 64 years","Percentage of total population","2006","Active population","60.3",""
"Total","Malta","From 20 to 64 years","Percentage of total population","2006","Active population","61.3",""
"Males","Malta","From 20 to 64 years","Percentage of total population","2006","Active population","83.8",""
"Females","Malta","From 20 to 64 years","Percentage of total population","2006","Active population","38.3",""
"Total","Netherlands","From 20 to 64 years","Percentage of total population","2006","Active population","79.1",""
"Males","Netherlands","From 20 to 64 years","Percentage of total population","2006","Active population","86.3",""
"Females","Netherlands","From 20 to 64 years","Percentage of total population","2006","Active population","71.8",""
"Total","Austria","From 20 to 64 years","Percentage of total population","2006","Active population","75.3",""
"Males","Austria","From 20 to 64 years","Percentage of total population","2006","Active population","81.9",""
"Females","Austria","From 20 to 64 years","Percentage of total population","2006","Active population","68.7",""
"Total","Poland","From 20 to 64 years","Percentage of total population","2006","Active population","69.7",""
"Males","Poland","From 20 to 64 years","Percentage of total population","2006","Active population","77.3",""
"Females","Poland","From 20 to 64 years","Percentage of total population","2006","Active population","62.4",""
"Total","Portugal","From 20 to 64 years","Percentage of total population","2006","Active population","78.7",""
"Males","Portugal","From 20 to 64 years","Percentage of total population","2006","Active population","84.7",""
"Females","Portugal","From 20 to 64 years","Percentage of total population","2006","Active population","72.9",""
"Total","Romania","From 20 to 64 years","Percentage of total population","2006","Active population","69.7",""
"Males","Romania","From 20 to 64 years","Percentage of total population","2006","Active population","77.4",""
"Females","Romania","From 20 to 64 years","Percentage of total population","2006","Active population","62.2",""
"Total","Slovenia","From 20 to 64 years","Percentage of total population","2006","Active population","76.0",""
"Males","Slovenia","From 20 to 64 years","Percentage of total population","2006","Active population","80.1",""
"Females","Slovenia","From 20 to 64 years","Percentage of total population","2006","Active population","71.7",""
"Total","Slovakia","From 20 to 64 years","Percentage of total population","2006","Active population","75.7",""
"Males","Slovakia","From 20 to 64 years","Percentage of total population","2006","Active population","84.4",""
"Females","Slovakia","From 20 to 64 years","Percentage of total population","2006","Active population","67.1",""
"Total","Finland","From 20 to 64 years","Percentage of total population","2006","Active population","79.5",""
"Males","Finland","From 20 to 64 years","Percentage of total population","2006","Active population","81.8",""
"Females","Finland","From 20 to 64 years","Percentage of total population","2006","Active population","77.2",""
"Total","Sweden","From 20 to 64 years","Percentage of total population","2006","Active population","83.9",""
"Males","Sweden","From 20 to 64 years","Percentage of total population","2006","Active population","87.0",""
"Females","Sweden","From 20 to 64 years","Percentage of total population","2006","Active population","80.7",""
"Total","United Kingdom","From 20 to 64 years","Percentage of total population","2006","Active population","78.8",""
"Males","United Kingdom","From 20 to 64 years","Percentage of total population","2006","Active population","86.2",""
"Females","United Kingdom","From 20 to 64 years","Percentage of total population","2006","Active population","71.6",""
"Total","Iceland","From 20 to 64 years","Percentage of total population","2006","Active population","88.1",""
"Males","Iceland","From 20 to 64 years","Percentage of total population","2006","Active population","92.2",""
