land area male female
Baden-Württemberg 35751.65 5271 5465
Bayern 70551.57 6103 6366
Berlin 891.85 1660 1736
Brandenburg 29478.61 1267 1293
Bremen 404.28 321 342
Hamburg 755.16 849 894
Hessen 21114.79 2983 3109
Mecklenburg-Vorpommern 23180.14 846 861
Niedersachsen 47624.20 3918 4076
Nordrhein-Westfalen 34085.29 8797 9261
Rheinland-Pfalz 19853.36 1990 2069
Saarland 2568.70 510 540
Sachsen 18415.51 2083 2191
Sachsen-Anhalt 20446.31 1206 1264
Schleswig-Holstein 15799.38 1385 1448
Thüringen 16172.10 1150 1185
