date;account number;document number;description;tax rate;gross amount
2020-04-02;4400;422673;Zurkan, Köln;19;5830
2020-04-02;4400;422673;Enoigo, Strasbourg;19;5830
2020-04-02;4400;422673;EnergyCom, Hamburg;19;5830
2929-04-05;4400;422673;Oscar Zopvar KG, Luxemburg;19;5830
2020-04-05;4400;422673;DigiTom, Frankfurt;19;5830
2020-04-05;4400;422673;DataCross AG, Köln;19;5830
2020-04-09;4400;422673;Drupa AG, Freiburg;19;5830
2020-04-10;4400;422673;Tom Nadeks;19;5830
2020-04-10;4400;422673;VeriBad Ltd.;19;5830
2020-04-13;4400;422673;Frank Miller AG;19;5830
2020-04-13;4400;422673;Kendine KG, Luxemburg;19;5830
2020-04-26;4400;422673;Swiss DatCor, Bern;19;5830
2020-04-26;4400;422673;PyTechno, Stuttgart;19;5830
2020-04-27;4400;422673;Python Germany DataSec;19;5830
2020-05-03;4400;422673;Marc Miller GmbH, München;19;5830
2020-05-05;4400;422673;KONAGY, Saarbrücken ;19;5830
2020-05-03;4400;422673;MacNoodle Basel;19;5830
2020-05-08;4400;422673;BoKoData, Bodensee, Konstanz;19;5830
2020-05-09;4400;422673;BoKoData, Bodensee, Konstanz;19;5830
2020-05-11;4400;422673;Marc Miller GmbH;19;5830
2020-05-11;4400;422673;POKAS, Freiburg;19;5830
2020-05-11;4400;422673;VeriGood Ltd.;19;5830
2020-05-18;4400;422673;DigiTom, Frankfurt;19;5830
2020-05-13;4400;422673;EnergyCom, Hamburg;19;5830
2020-05-25;4400;422673;PyTechno, Stuttgart;19;5830
2020-05-25;4400;422673;BoKoData, Bodensee, Konstanz;19;5830
2020-06-01;4400;422673;Marc Miller GmbH, München;19;5830
2020-06-02;4400;422673;Marc Miller GmbH, München;19;5830
2020-06-03;4400;422673;EnergyCom, Hamburg;19;5830
2020-06-03;4400;422673;DigiTom, Frankfurt;19;5830
2020-06-04;4400;422673;DataCross AG, Köln;19;5830
2929-06-04;4400;422673;Oscar Zopvar KG, Luxemburg;19;5830
2020-06-09;4400;422673;Ben Jam, Amsterdam;19;5830
2020-06-10;4400;422673;Truckdatcom, Zürich;19;5830
2020-06-11;4400;422673;VeriGood Ltd.;19;5830
2020-06-12;4400;422673;Frank Miller AG;19;5830
2020-06-13;4400;422673;Oscar Zopvar KG, Luxemburg;19;5830
2020-06-13;4400;422673;PyTechno, Stuttgart;19;5830
2020-06-26;4400;422673;Swiss DatCor, Bern;19;5830
2020-06-27;4400;422673;Python Germany DataSec;19;5830
2020-07-02;4400;422673;Marc Miller GmbH, München;19;5830
2020-07-03;4400;422673;MacNoodle Basel;19;5830
2020-07-05;4400;422673;KONAGY, Saarbrücken ;19;5830
2020-07-08;4400;422673;BoKoData, Bodensee, Konstanz;19;5830
2020-07-09;4400;422673;BoKoData, Bodensee, Konstanz;19;5830
2020-07-10;4400;422673;Marc Miller GmbH;19;5830
2020-07-10;4400;422673;POKAS, Freiburg;19;5830
2020-07-11;4400;422673;VeriGood Ltd.;19;5830
2020-07-18;4400;422673;DigiTom, Frankfurt;19;5830
2020-07-13;4400;422673;EnergyCom, Hamburg;19;5830
2020-07-23;4400;422673;PyTechno, Stuttgart;19;5830
2020-07-25;4400;422673;BoKoData, Bodensee, Konstanz;19;5830

