Month Year	"Unique visitors"	"Number of visits"	Pages	Hits	Bandwidth Unit
Jun 2010	11	13	42	290	2.63 MB
Jul 2010	27	39	232	939	9.42 MB
Aug 2010	75	87	207	1,096	17.37 MB
Sep 2010	171	221	480	2,373	39.63 MB
Oct 2010	238	301	552	2,872	52.13 MB
Nov 2010	353	455	912	5,086	89.58 MB
Dec 2010	366	423	944	4,884	81.33 MB
Jan 2011	911	1,111	2,321	11,442	204.90 MB
Feb 2011	1,488	1,807	4,139	22,291	421.84 MB
Mar 2011	2,128	2,762	6,009	32,407	637.86 MB
Apr 2011	2,439	3,025	5,975	35,089	750.19 MB
May 2011	3,201	4,069	8,079	46,995	1.38 GB
Jun 2011	3,493	4,619	10,376	55,212	1.85 GB
Jul 2011	4,158	5,448	11,096	63,395	2.23 GB
Aug 2011	5,017	6,834	14,622	78,880	2.49 GB
Sep 2011	5,609	7,603	15,358	87,138	2.60 GB
Oct 2011	7,096	9,364	17,335	106,215	2.96 GB
Nov 2011	8,004	10,417	43,656	141,462	3.69 GB
Dec 2011	7,383	9,967	20,298	108,690	3.28 GB
Jan 2012	9,987	14,049	41,154	175,333	5.21 GB
Feb 2012	11,699	16,238	34,562	196,832	6.05 GB
Mar 2012	15,183	20,790	158,168	374,197	8.59 GB
Apr 2012	17,582	24,192	48,505	300,813	8.45 GB
May 2012	12,334	17,112	34,646	211,343	6.02 GB
Jun 2012	10,068	13,626	27,900	167,299	4.86 GB
Jul 2012	9,724	13,601	27,960	164,219	4.77 GB
Aug 2012	10,982	15,181	29,821	181,792	5.58 GB
Sep 2012	13,192	17,772	34,501	215,720	6.93 GB
Oct 2012	17,876	23,860	43,460	285,145	8.74 GB
Nov 2012	17,771	24,275	44,774	287,439	8.97 GB
Dec 2012	15,844	21,640	40,316	253,595	7.76 GB
Jan 2013	17,748	24,515	46,151	290,322	8.60 GB
Feb 2013	33,011	45,798	77,635	514,701	12.67 GB
Mar 2013	21,539	30,521	56,604	350,967	10.54 GB
Apr 2013	20,373	28,270	50,448	332,571	10.21 GB
May 2013	17,098	23,827	43,928	279,276	8.47 GB
Jun 2013	12,453	17,463	33,779	209,273	6.42 GB
Jul 2013	12,976	18,515	33,999	213,167	6.72 GB
Aug 2013	12,230	17,023	33,731	211,755	6.87 GB
Sep 2013	14,652	20,064	38,565	249,201	8.44 GB
Oct 2013	20,880	29,587	66,755	371,270	12.90 GB
Nov 2013	20,877	29,463	59,089	355,078	12.46 GB
Dec 2013	18,256	25,999	52,808	312,058	11.19 GB
Jan 2014	19,289	27,690	59,722	346,499	12.30 GB
Feb 2014	20,858	28,140	58,172	358,004	12.64 GB
Mar 2014	24,287	34,242	69,962	421,653	15.27 GB
Apr 2014	24,906	34,893	70,888	431,327	16.33 GB
May 2014	36,414	51,812	96,659	642,668	24.01 GB
Jun 2014	50,009	74,980	138,866	916,993	36.35 GB
Jul 2014	52,168	79,832	148,321	955,984	40.54 GB
Aug 2014	56,579	85,404	165,780	1,045,064	46.97 GB
Sep 2014	73,239	109,909	197,517	1,324,469	63.36 GB
Oct 2014	92,553	141,437	250,283	1,675,560	79.99 GB
Nov 2014	108,717	168,149	342,453	2,074,696	94.45 GB
Dec 2014	105,985	164,789	344,648	2,030,661	91.88 GB
Jan 2015	117,883	187,681	390,889	2,277,968	111.79 GB
Feb 2015	136,277	217,662	438,847	2,617,489	130.76 GB
Mar 2015	160,773	261,234	525,603	3,143,353	156.74 GB
Apr 2015	161,629	263,935	525,281	3,130,849	159.27 GB
May 2015	170,452	278,342	551,557	3,282,837	171.77 GB
Jun 2015	165,185	279,219	561,837	3,249,182	174.22 GB
Jul 2015	163,924	282,344	563,931	3,222,827	175.86 GB
Aug 2015	162,690	275,683	538,659	3,098,929	173.02 GB
Sep 2015	203,156	337,798	645,952	3,867,129	223.63 GB
Oct 2015	231,267	383,978	730,938	4,650,311	249.44 GB
Nov 2015	222,328	363,075	777,335	4,317,923	229.84 GB
Dec 2015	176,423	281,203	546,940	3,233,182	121.62 GB
Jan 2016	184,008	300,165	584,926	3,434,948	132.22 GB
Feb 2016	198,459	326,145	624,677	3,721,121	138.85 GB
Mar 2016	209,843	348,340	648,922	3,966,598	153.01 GB
Apr 2016	205,118	336,422	612,786	3,773,631	144.91 GB
May 2016	199,487	328,900	622,209	3,700,323	141.16 GB
Jun 2016	195,413	333,928	611,745	3,738,705	143.89 GB
Jul 2016	182,681	310,696	572,259	3,435,883	134.83 GB
Aug 2016	195,611	331,295	604,420	3,620,118	144.78 GB
Sep 2016	214,572	350,222	628,903	3,881,820	152.44 GB
Oct 2016	240,697	386,426	691,730	4,278,475	167.47 GB
Nov 2016	234,518	374,641	832,244	4,378,623	167.68 GB
Dec 2016	209,367	323,845	598,081	3,627,830	145.41 GB
Jan 2017	219,153	346,011	633,984	3,827,909	158.36 GB
Feb 2017	255,869	409,503	752,516	4,630,365	189.43 GB
Mar 2017	284,557	467,802	891,505	5,306,521	221.30 GB
Apr 2017	258,138	411,578	798,706	4,700,256	196.23 GB
May 2017	286,666	469,832	904,979	5,330,480	221.26 GB
Jun 2017	285,358	480,205	938,995	5,388,311	228.46 GB
Jul 2017	288,349	489,340	977,451	5,483,028	235.73 GB
Aug 2017	285,699	480,582	924,633	5,327,850	236.82 GB
Sep 2017	347,889	527,127	916,978	5,854,214	257.22 GB
Oct 2017	423,363	640,041	1,095,274	7,236,377	316.40 GB
Nov 2017	432,217	662,252	1,155,585	7,605,192	334.20 GB
Dec 2017	412,712	617,253	1,110,398	7,085,790	320.12 GB
Jan 2018	455,019	713,853	1,273,032	8,120,792	378.96 GB
Feb 2018	457,861	710,446	1,231,889	8,110,373	382.76 GB
Mar 2018	476,179	740,049	1,303,981	8,684,025	423.81 GB
Apr 2018	434,346	663,327	1,143,762	7,723,268	377.56 GB
May 2018	402,390	619,993	1,124,517	7,307,779	394.72 GB
