Year Month Hamburg Berlin Munich Frankfurt Cologne
2000 1 15903 21010 17690 22119 12280 
2000 2 16063.46 21093.98 17945.6 22358.74 12108.43 
2000 3 16220.32 21199.59 17489.24 23013.13 12737.8 
2000 4 16659.54 21160.1 17332.69 23106.53 12699.61 
2000 5 15967.23 20881.94 17487.71 22929.01 13206.57 
2000 6 16681.15 20934.61 17331.65 22894.37 13324.03 
2000 7 16825.99 20415.3 17223.43 23457.45 13510.39 
2000 8 16316.89 20107.63 17270.23 23769.33 13136.94 
2000 9 15734.71 20887.38 17323.51 23490.51 13274.73 
2000 10 16195.16 21203.53 16857.19 23255.11 13617.86 
2000 11 16219.72 21669.15 16781.17 23218.15 13694.43 
2000 12 16433.64 22114.65 16732.43 23959.25 13574.37 
2001 1 15953.09 22373.41 16574.41 24436.53 14079.64 
2001 2 16986.23 22347.89 16476.44 24118.18 13961.22 
2001 3 17319.54 22454.62 16315.5 23661.91 14048.03 
2001 4 18282.74 22688.25 16133.58 23288.55 14276.52 
2001 5 18902.23 21862.68 15971.95 24108.9 14853.39 
2001 6 19287.66 22457.74 16065.6 23650.85 15096.13 
2001 7 20296.94 23642.0 15760.39 23092.73 15854.04 
2001 8 21346.97 23754.07 15419.8 22985.97 15307.43 
2001 9 21360.87 24416.72 15564.07 22735.96 16106.95 
2001 10 20833.68 23996.4 15373.25 23201.86 16612.1 
2001 11 20318.28 23550.47 15428.52 23683.02 17026.47 
2001 12 20359.58 24488.08 15391.87 23734.53 17082.97 
2002 1 21310.88 24505.65 15046.54 23989.45 17217.42 
2002 2 21730.47 24320.71 15231.55 23903.12 17880.85 
2002 3 21419.69 24122.64 15561.94 23933.71 18639.09 
2002 4 21646.52 23144.88 15749.54 23891.25 19231.95 
2002 5 21698.31 23641.43 15776.8 23448.83 19143.18 
2002 6 21564.05 23606.97 15624.82 23620.63 19563.3 
2002 7 22060.76 23575.88 15556.34 23163.85 19375.04 
2002 8 22948.8 24373.26 15741.37 22442.62 19410.03 
2002 9 21687.25 24042.0 15510.57 23195.46 20024.51 
2002 10 20955.56 24560.04 15517.1 23279.11 20619.64 
2002 11 21472.78 25330.72 15603.13 23165.23 20275.34 
2002 12 20752.52 24260.47 15305.43 23189.88 20364.17 
2003 1 19658.05 25251.88 14873.55 23457.6 21158.1 
2003 2 19744.43 25544.46 14640.58 24087.06 21262.34 
2003 3 20544.91 24875.94 14725.22 24475.58 20238.81 
2003 4 19961.83 24394.3 14791.75 23295.11 18975.87 
2003 5 20487.23 22398.23 14702.31 23875.78 18255.31 
2003 6 20593.17 21854.73 14434.14 23962.7 18719.83 
