Land area male female
Baden-Württemberg 35748.22 5501693 5567840
Bayern 70541.57 6483793 6592928
Berlin 891.12 1792801 1852025
Brandenburg 29654.48 1239460 1272457
Bremen 419.36 338035 344951
Hamburg 755.09 902048 939131
Hessen 21115.68 3093044 3172765
Mecklenburg-Vorpommern 23294.62 793639 816036
Niedersachsen 47709.50 3943243 4039205
Nordrhein-Westfalen 34112.31 8798631 9134020
Rheinland-Pfalz 19858.00 2017576 2067268
Saarland 2571.11 486159 504350
Sachsen 18449.96 2009619 2068318
Sachsen-Anhalt 20454.31 1086679 1121642
Schleswig-Holstein 15804.30 1419457 1477255
Thüringen 16202.37 1060814 1082331
Deutschland 357582.00 40966691 42052522
