,land,area,male,female,population
0,Baden-Württemberg,35751.65,5271,5465,10736
1,Bayern,70551.57,6103,6366,12469
2,Berlin,891.85,1660,1736,3396
3,Brandenburg,29478.61,1267,1293,2560
4,Bremen,404.28,321,342,663
5,Hamburg,755.16,849,894,1743
6,Hessen,21114.79,2983,3109,6092
7,Mecklenburg-Vorpommern,23180.14,846,861,1707
8,Niedersachsen,47624.2,3918,4076,7994
9,Nordrhein-Westfalen,34085.29,8797,9261,18058
10,Rheinland-Pfalz,19853.36,1990,2069,4059
11,Saarland,2568.7,510,540,1050
12,Sachsen,18415.51,2083,2191,4274
13,Sachsen-Anhalt,20446.31,1206,1264,2470
14,Schleswig-Holstein,15799.38,1385,1448,2833
15,Thüringen,16172.1,1150,1185,2335
